iter	Passed	Remaining
140	27464	556878
141	27685	557212
142	27903	557476
143	28083	556996
144	28176	554788
145	28401	555196
146	28591	554902
147	28862	556194
148	29079	556406
149	29234	555460
150	29430	555282
151	29626	555097
152	29762	553821
153	29929	553112
154	30137	553171
155	30307	552519
156	30527	552797
157	30757	553252
158	30969	553351
159	31171	553288
160	31354	552896
161	31466	551250
162	31666	551157
163	31827	550384
164	32087	551325
165	32282	551128
166	32479	550978
167	32670	550738
168	32871	550638
169	33086	550791
170	33271	550442
171	33492	550671
172	33685	550462
173	33863	549987
174	34065	549913
175	34288	550167
176	34470	549772
177	34634	549094
178	34801	548467
179	34968	547844
180	35151	547463
181	35331	547059
182	35560	547402
183	35789	547741
184	35928	546697
185	36124	546532
186	36311	546226
187	36494	545867
188	36655	545176
189	36886	545525
190	37097	545578
191	37310	545659
192	37516	545638
193	37694	545205
194	37886	544979
195	38056	544443
196	38267	544480
197	38468	544385
198	38628	543704
199	38824	543549
200	39003	543144
201	39232	543433
202	39453	543609
203	39659	543567
204	39881	543746
205	40176	544921
206	40394	545033
207	40545	544245
208	40691	543401
209	40845	542660
210	41045	542545
211	41266	542692
212	41513	543178
213	41779	543910
214	42022	544342
215	42130	543015
216	42440	544298
217	42685	544732
218	42934	545209
219	43188	545745
220	43413	545907
221	43596	545545
222	43816	545649
223	44040	545781
224	44247	545717
225	44466	545801
226	44675	545749
227	44954	546550
228	45096	545684
229	45188	544228
230	45394	544139
231	45546	543419
232	45714	542881
233	45890	542454
234	46102	542443
235	46300	542267
236	46513	542260
237	46680	541729
238	46897	541772
239	47144	542158
240	47413	542801
241	47648	543033
242	47908	543554
243	48110	543417
244	48345	543641
245	48560	543641
246	48712	542938
247	48960	543302
248	49233	543943
249	49447	543927
250	49540	542573
251	49789	542940
252	50016	543060
253	50209	542813
254	50426	542822
255	50618	542565
256	50806	542266
257	51026	542299
258	51108	540877
259	51200	539575
260	51402	539430
261	51641	539670
262	51861	539712
263	52026	539182
264	52235	539104
265	52424	538828
266	52616	538580
267	52885	539119
268	53098	539074
269	53315	539082
270	53535	539104
271	53738	538961
272	53927	538682
273	54064	537886
274	54312	538185
275	54515	538041
276	54750	538214
277	54995	538476
278	55181	538164
279	55369	537875
280	55565	537658
281	55775	537576
282	56027	537903
283	56232	537775
284	56419	537472
285	56617	537270
286	56844	537351
287	57055	537271
288	57265	537184
289	57535	537656
290	57754	537648
291	57978	537692
292	58238	538056
293	58438	537872
294	58636	537662
295	58854	537647
296	59049	537411
297	59319	537854
298	59592	538325
299	59802	538226
300	60026	538245
301	60213	537930
302	60394	537571
303	60612	537540
304	60824	537452
305	61047	537458
306	61258	537359
307	61467	537243
308	61667	537043
309	61837	536589
310	62032	536352
311	62229	536132
312	62418	535839
313	62610	535582
314	62833	535584
315	63079	535777
316	63287	535648
317	63502	535578
318	63711	535457
319	63972	535767
320	64189	535708
321	64390	535519
322	64646	535786
323	64881	535873
324	65093	535768
325	65329	535858
326	65594	536192
327	65829	536266
328	66033	536094
329	66263	536131
330	66498	536205
331	66706	536064
332	66902	535823
333	67146	535962
334	67367	535925
335	67564	535690
336	67753	535391
337	67979	535389
338	68185	535226
339	68410	535213
340	68629	535150
341	68802	534729
342	69030	534732
343	69251	534686
344	69424	534263
345	69627	534078
346	69853	534064
347	70101	534221
348	70328	534217
349	70549	534161
350	70789	534245
351	71027	534322
352	71276	534471
353	71558	534869
354	71776	534787
355	72013	534838
356	72210	534598
357	72431	534537
358	72626	534282
359	72806	533911
360	73018	533781
361	73208	533493
362	73405	533247
363	73620	533141
364	73818	532910
365	74023	532724
366	74227	532539
367	74419	532264
368	74611	531987
369	74806	531732
370	74993	531420
371	75182	531129
372	75347	530662
373	75546	530444
374	75751	530258
375	75922	529842
376	76111	529550
377	76303	529277
378	76484	528936
379	76656	528529
380	76854	528298
381	77030	527921
382	77222	527652
383	77391	527232
384	77584	526971
385	77767	526645
386	77927	526160
387	78090	525701
388	78269	525353
389	78437	524925
390	78625	524635
391	78800	524262
392	79011	524127
393	79215	523950
394	79404	523667
395	79590	523368
396	79778	523080
397	79965	522789
