fold,feature,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
4,Charging_Stations_Near_Home,False,False,False,False,7153.503319501877
4,Charging_Stations_Near_Work,False,False,False,False,6990.433079600334
4,Environmental_Concern_Level,False,False,False,False,16753.776280879974
4,Gender,False,False,False,False,861.6394908428192
4,City_Type,False,False,False,False,1248.2946782112122
4,Current_Car_Type,False,False,False,False,1542.884933233261
4,Home_Charging_Possible,False,False,False,False,3304.7257735729218
4,Subsidy_Available,False,False,False,False,549.6636300086975
4,Range_Anxiety_Level,False,False,False,False,1458.48040163517
4,FE__income_digit_ones,False,False,True,False,3161.2019402980804
4,FE__income_digit_tens,False,False,True,False,952.2479100227356
4,FE__income_digit_hundreds,False,False,True,False,1088.191311597824
4,FE__income_digit_thousands,False,False,True,False,5055.378786802292
4,FE__income_digit_ten_thousands,False,False,True,False,3700.2503049373627
4,FE__income_digit_hundred_thousands,False,False,True,False,265.65440368652344
4,FE__income_last2,False,False,True,False,6945.437261343002
4,FE__income_last3,False,False,True,False,11208.621922254562
4,FE__income_exact_frequency_count,False,False,False,True,13753.569280743599
4,FE__income_exact_frequency_log1p,False,False,False,True,1355.3376667499542
4,FE__income_exact_frequency_rate,False,False,False,True,21.378360271453857
4,FE__commute_exact_frequency_count,False,False,False,True,8266.834257602692
4,FE__commute_exact_frequency_log1p,False,False,False,True,1150.5175499916077
4,FE__commute_exact_frequency_rate,False,False,False,True,70.82620906829834
4,TE__Annual_Income_USD_exact,False,True,False,False,139671.68790626526
4,TE__Daily_Commute_km_exact,False,True,False,False,29509.87714469433
4,HTE__income_1k_bucket,True,False,False,False,17063.016670942307
4,HTE__income_10k_bucket,True,False,False,False,11977.986176013947
4,HTE__income_100k_bucket,True,False,False,False,2331.2149317264557
