smoothing,fold,raw_xgb_auc,candidate_auc,delta_vs_raw_xgb,catboost_champion_auc,delta_vs_catboost_champion,best_iteration_zero_based,te_generation_seconds,fit_seconds,inference_seconds,total_fold_seconds
3.0,4,0.9420368130630926,0.9456778602565565,0.00364104719346392,0.9454100967519183,0.00026776350463819654,1436,1.6806476000001567,9.211082200001329,0.2416190000003553,11.267574499999682
4.0,0,0.9408706582447172,0.9445580343732223,0.0036873761285051154,0.9445226451913928,3.538918182943718e-05,1267,1.6579574999996112,8.734000000000378,0.21034030000009807,10.731894900000043
4.0,1,0.9417301473655416,0.9451860762735538,0.0034559289080121625,0.9450696193102858,0.00011645696326800792,1424,1.6570166000001336,9.01589629999944,0.2278415999990102,11.036872999999105
4.0,2,0.9431367450896386,0.946509021782719,0.0033722766930803783,0.9464517911811139,5.723060160511828e-05,1167,1.746242400000483,7.792397999999594,0.22021329999915906,9.897385700000086
4.0,3,0.9425899293322193,0.9457395862640523,0.0031496569318330003,0.9457721613739136,-3.2575109861321394e-05,1097,1.6895244999996066,7.342510300000868,0.20106049999958486,9.363446199999089
4.0,4,0.9420368130630926,0.9456088721262388,0.0035720590631461713,0.9454100967519183,0.0001987753743204479,1135,1.7455456999996386,7.7062777999999525,0.2076775000005,9.801415099998849
5.0,0,0.9408706582447172,0.9445029920129779,0.003632333768260776,0.9445226451913928,-1.9653178414902328e-05,1145,1.6977872000006755,7.613294299999325,0.21401390000028186,9.654096899999786
5.0,1,0.9417301473655416,0.9451401192918811,0.0034099719263395167,0.9450696193102858,7.04999815953622e-05,1374,1.7281590000002325,8.955467200001294,0.2205658000002586,11.028687199999695
5.0,2,0.9431367450896386,0.9465105786307253,0.0033738335410866682,0.9464517911811139,5.878744961140825e-05,1519,1.7897140000004583,10.508219200000894,0.27071450000039476,12.714618800000608
5.0,3,0.9425899293322193,0.9456925375298664,0.003102608197647072,0.9457721613739136,-7.962384404724965e-05,1331,1.8856778999997914,9.056012899998677,0.22983399999975518,11.313169500001095
5.0,4,0.9420368130630926,0.9455561196688482,0.003519306605755612,0.9454100967519183,0.00014602291692988878,1430,1.787675699999454,8.894510800000717,0.23694150000119407,11.043061100001069
