fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_all_feature_frequency_extension,is_exact_te_feature,gain_importance
3,FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.011847710236907005
3,FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.013339479453861713
3,FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.012530920095741749
3,FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.08447027951478958
3,FE__Gender__frequency_log1p,False,False,True,False,0.011682865209877491
3,FE__City_Type__frequency_log1p,False,False,True,False,0.017758604139089584
3,FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.0129868034273386
3,FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.028013180941343307
3,FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.008765153586864471
3,FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.026620538905262947
3,TE__Annual_Income_USD_exact,False,False,False,True,0.11758340150117874
3,TE__Daily_Commute_km_exact,False,False,False,True,0.03690706193447113
4,Age,False,False,False,False,0.019596310332417488
4,Annual_Income_USD,False,False,False,False,0.05385652184486389
4,Daily_Commute_km,False,False,False,False,0.01277294009923935
4,Number_of_Cars_Owned,False,False,False,False,0.012215930968523026
4,Charging_Stations_Near_Home,False,False,False,False,0.01521750446408987
4,Charging_Stations_Near_Work,False,False,False,False,0.012994245626032352
4,Environmental_Concern_Level,False,False,False,False,0.04696175083518028
4,Gender,False,False,False,False,0.011062415316700935
4,City_Type,False,False,False,False,0.013202248141169548
4,Current_Car_Type,False,False,False,False,0.011477519758045673
4,Home_Charging_Possible,False,False,False,False,0.03190971910953522
4,Subsidy_Available,False,False,False,False,0.011198775842785835
4,Range_Anxiety_Level,False,False,False,False,0.022723808884620667
4,FE__income_digit_ones,True,False,False,False,0.012154730036854744
4,FE__income_digit_tens,True,False,False,False,0.011166098527610302
4,FE__income_digit_hundreds,True,False,False,False,0.01606500893831253
4,FE__income_digit_thousands,True,False,False,False,0.015067140571773052
4,FE__income_digit_ten_thousands,True,False,False,False,0.021642422303557396
4,FE__income_digit_hundred_thousands,True,False,False,False,0.1644170731306076
4,FE__income_last2,True,False,False,False,0.01151255238801241
4,FE__income_last3,True,False,False,False,0.013422000221908092
4,FE__income_exact_frequency_count,False,True,False,False,0.015374979935586452
4,FE__income_exact_frequency_log1p,False,True,False,False,0.01640029065310955
4,FE__income_exact_frequency_rate,False,True,False,False,0.015906639397144318
4,FE__commute_exact_frequency_count,False,True,False,False,0.011837984435260296
4,FE__commute_exact_frequency_log1p,False,True,False,False,0.012157240882515907
4,FE__commute_exact_frequency_rate,False,True,False,False,0.010079135186970234
4,FE__Age__frequency_log1p,False,False,True,False,0.01928953267633915
4,FE__Number_of_Cars_Owned__frequency_log1p,False,False,True,False,0.011703144758939743
4,FE__Charging_Stations_Near_Home__frequency_log1p,False,False,True,False,0.01324795838445425
4,FE__Charging_Stations_Near_Work__frequency_log1p,False,False,True,False,0.012094034813344479
4,FE__Environmental_Concern_Level__frequency_log1p,False,False,True,False,0.07696697860956192
4,FE__Gender__frequency_log1p,False,False,True,False,0.01092419121414423
4,FE__City_Type__frequency_log1p,False,False,True,False,0.01122052501887083
4,FE__Current_Car_Type__frequency_log1p,False,False,True,False,0.013837240636348724
4,FE__Home_Charging_Possible__frequency_log1p,False,False,True,False,0.0245997104793787
4,FE__Subsidy_Available__frequency_log1p,False,False,True,False,0.014144597575068474
4,FE__Range_Anxiety_Level__frequency_log1p,False,False,True,False,0.020836930721998215
4,TE__Annual_Income_USD_exact,False,False,False,True,0.11290639638900757
4,TE__Daily_Commute_km_exact,False,False,False,True,0.03583583980798721
