fold,feature,is_source_te,is_hierarchical_income_te,is_exact_te,is_income_digit,is_exact_frequency,gain_importance
2,SOURCE_TE__behavior_state,True,False,False,False,False,0.022205175831913948
3,Age,False,False,False,False,False,0.018604544922709465
3,Annual_Income_USD,False,False,False,False,False,0.062314797192811966
3,Daily_Commute_km,False,False,False,False,False,0.011882525868713856
3,Number_of_Cars_Owned,False,False,False,False,False,0.010957181453704834
3,Charging_Stations_Near_Home,False,False,False,False,False,0.013836253434419632
3,Charging_Stations_Near_Work,False,False,False,False,False,0.011581490747630596
3,Environmental_Concern_Level,False,False,False,False,False,0.06579079478979111
3,Gender,False,False,False,False,False,0.010545345023274422
3,City_Type,False,False,False,False,False,0.011267838068306446
3,Current_Car_Type,False,False,False,False,False,0.011189817450940609
3,Home_Charging_Possible,False,False,False,False,False,0.0296880342066288
3,Subsidy_Available,False,False,False,False,False,0.008955055847764015
3,Range_Anxiety_Level,False,False,False,False,False,0.020198723301291466
3,FE__income_digit_ones,False,False,False,True,False,0.010294307954609394
3,FE__income_digit_tens,False,False,False,True,False,0.01107108686119318
3,FE__income_digit_hundreds,False,False,False,True,False,0.014148307032883167
3,FE__income_digit_thousands,False,False,False,True,False,0.014111069962382317
3,FE__income_digit_ten_thousands,False,False,False,True,False,0.029032377526164055
3,FE__income_digit_hundred_thousands,False,False,False,True,False,0.19801242649555206
3,FE__income_last2,False,False,False,True,False,0.010500182397663593
3,FE__income_last3,False,False,False,True,False,0.012043899856507778
3,FE__income_exact_frequency_count,False,False,False,False,True,0.013714956119656563
3,FE__income_exact_frequency_log1p,False,False,False,False,True,0.013246187008917332
3,FE__income_exact_frequency_rate,False,False,False,False,True,0.019236523658037186
3,FE__commute_exact_frequency_count,False,False,False,False,True,0.010363653302192688
3,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.009511396288871765
3,FE__commute_exact_frequency_rate,False,False,False,False,True,0.009329120628535748
3,TE__Annual_Income_USD_exact,False,False,True,False,False,0.11699443310499191
3,TE__Daily_Commute_km_exact,False,False,True,False,False,0.035856571048498154
3,HTE__income_1k_bucket,False,True,False,False,False,0.019472802057862282
3,HTE__income_10k_bucket,False,True,False,False,False,0.024950049817562103
3,HTE__income_100k_bucket,False,True,False,False,False,0.010478531010448933
3,SOURCE_TE__income_10k_bucket,True,False,False,False,False,0.04323539510369301
3,SOURCE_TE__environmental_concern,True,False,False,False,False,0.04005628079175949
3,SOURCE_TE__subsidy,True,False,False,False,False,0.009389039129018784
3,SOURCE_TE__range_anxiety,True,False,False,False,False,0.01701977849006653
3,SOURCE_TE__behavior_state,True,False,False,False,False,0.021119099110364914
4,Age,False,False,False,False,False,0.01744094118475914
4,Annual_Income_USD,False,False,False,False,False,0.055170074105262756
4,Daily_Commute_km,False,False,False,False,False,0.01120695285499096
4,Number_of_Cars_Owned,False,False,False,False,False,0.010473856702446938
4,Charging_Stations_Near_Home,False,False,False,False,False,0.012798733077943325
4,Charging_Stations_Near_Work,False,False,False,False,False,0.010975297540426254
4,Environmental_Concern_Level,False,False,False,False,False,0.06426417082548141
4,Gender,False,False,False,False,False,0.009152630344033241
4,City_Type,False,False,False,False,False,0.010882534086704254
4,Current_Car_Type,False,False,False,False,False,0.011228839866816998
4,Home_Charging_Possible,False,False,False,False,False,0.02956431731581688
4,Subsidy_Available,False,False,False,False,False,0.009479447267949581
4,Range_Anxiety_Level,False,False,False,False,False,0.018166568130254745
4,FE__income_digit_ones,False,False,False,True,False,0.010080247186124325
4,FE__income_digit_tens,False,False,False,True,False,0.009675390087068081
4,FE__income_digit_hundreds,False,False,False,True,False,0.013890472240746021
4,FE__income_digit_thousands,False,False,False,True,False,0.013041763566434383
4,FE__income_digit_ten_thousands,False,False,False,True,False,0.021232550963759422
4,FE__income_digit_hundred_thousands,False,False,False,True,False,0.27695003151893616
4,FE__income_last2,False,False,False,True,False,0.010126727633178234
4,FE__income_last3,False,False,False,True,False,0.011745032854378223
4,FE__income_exact_frequency_count,False,False,False,False,True,0.013279848732054234
4,FE__income_exact_frequency_log1p,False,False,False,False,True,0.012976712547242641
4,FE__income_exact_frequency_rate,False,False,False,False,True,0.01577618531882763
4,FE__commute_exact_frequency_count,False,False,False,False,True,0.010074890218675137
4,FE__commute_exact_frequency_log1p,False,False,False,False,True,0.010589196346700191
4,FE__commute_exact_frequency_rate,False,False,False,False,True,0.007117195520550013
4,TE__Annual_Income_USD_exact,False,False,True,False,False,0.09740705788135529
4,TE__Daily_Commute_km_exact,False,False,True,False,False,0.029552152380347252
4,HTE__income_1k_bucket,False,True,False,False,False,0.01847924292087555
4,HTE__income_10k_bucket,False,True,False,False,False,0.023749569430947304
4,HTE__income_100k_bucket,False,True,False,False,False,0.010547654703259468
4,SOURCE_TE__income_10k_bucket,True,False,False,False,False,0.03304518759250641
4,SOURCE_TE__environmental_concern,True,False,False,False,False,0.027821002528071404
4,SOURCE_TE__subsidy,True,False,False,False,False,0.01611926034092903
4,SOURCE_TE__range_anxiety,True,False,False,False,False,0.01645243540406227
4,SOURCE_TE__behavior_state,True,False,False,False,False,0.019465850666165352
