outer_fold,feature,segment,train_n,train_positives,selected_source,champion_auc_train4,cat_auc_train4,xgb_auc_train4,lgbm_auc_train4
4,audit_commute_1km,43,10557,1988,CHAMPION,0.9438278932552017,0.9438064669966351,0.943805791922735,0.9434147773794124
4,audit_commute_1km,39,7984,1419,CHAMPION,0.9437428716037974,0.9435805655699738,0.9435148165979388,0.9436582298659204
4,audit_commute_1km,51,7963,1214,CHAMPION,0.9449604834983181,0.9446047043884467,0.94483336722287,0.944937232753745
4,audit_commute_1km,64,1610,236,CAT,0.94004576517899,0.9401259467594306,0.9397188710433474,0.938889300076481
4,audit_commute_1km,18,4444,736,LGBM,0.9461816548238826,0.9457269241592795,0.9459365179869611,0.9462849860466208
4,audit_commute_1km,24,9111,1451,LGBM,0.9458227692075151,0.9449168935442019,0.945874367726948,0.94595849085802
4,audit_commute_1km,58,6587,920,XGB,0.9461924873984394,0.9452011454569167,0.9464322431161338,0.9457448155223604
4,audit_commute_1km,59,6260,622,CAT,0.9517448206873661,0.9517654945939873,0.9512825806510484,0.951400635786789
4,audit_commute_1km,71,590,56,CAT,0.9644529159978599,0.9654561262707331,0.9632825040128411,0.9636837881219904
4,audit_commute_1km,40,8774,1646,XGB,0.947526304287645,0.9469856353463076,0.9475401544812239,0.9473603576605804
4,audit_commute_1km,16,5558,1313,CHAMPION,0.9365698815056825,0.9362702592629472,0.9365330118225196,0.9363148437703244
4,audit_commute_1km,46,11726,2059,CHAMPION,0.9415421842649192,0.9412451889292759,0.9414317310389341,0.9413960855698249
4,audit_commute_1km,38,9668,1748,XGB,0.9474085101587962,0.946672965351455,0.9474359585558099,0.947332738136514
4,audit_commute_1km,26,7974,1523,LGBM,0.9404501208310784,0.939578710075947,0.9404786199271989,0.9404904266955917
4,audit_commute_1km,56,6062,1208,CHAMPION,0.9456256804656227,0.9450932459608652,0.9455196028673014,0.9455245486074161
4,audit_commute_1km,60,4068,734,XGB,0.9522580497524474,0.9512703726284716,0.9523066776290519,0.9520884651407593
4,audit_commute_1km,34,11584,1866,XGB,0.9388116261202568,0.9383154804721441,0.9388455407110747,0.9387020516617929
4,audit_commute_1km,67,3046,96,CAT,0.9413524011299435,0.9430084745762712,0.9404060734463277,0.939375
4,audit_commute_1km,62,2620,257,CHAMPION,0.9467536979800459,0.9465412792219874,0.9464029600306937,0.9465330459367914
4,audit_commute_1km,17,5279,1165,CAT,0.9424553654328046,0.9424564086621419,0.9423878684946826,0.9420110540580577
4,audit_commute_1km,70,1384,247,XGB,0.9575059019580614,0.9563308514843024,0.9576198462464259,0.9564946463988263
4,audit_commute_1km,15,3677,1149,CHAMPION,0.9483788531028632,0.94834046666887,0.9481748713796256,0.947979324343678
4,audit_commute_1km,69,1628,112,CAT,0.9485340887674332,0.9489198548812665,0.9483603467772335,0.9462931115718056
0,audit_commute_5km,20,39888,7289,CHAMPION,0.9452288294443929,0.9447206294074008,0.9451934317150045,0.9451144359856641
0,audit_commute_5km,50,45663,7464,CHAMPION,0.946806610524728,0.9463638857792921,0.9467560611607284,0.9466747314866888
0,audit_commute_5km,55,34729,5371,CHAMPION,0.9481532645697932,0.947739634128267,0.9480943294299156,0.9479057059070691
0,audit_commute_5km,65,9092,519,CHAMPION,0.9415480154906732,0.9415157638569089,0.941290789045772,0.9399562231831037
