feature,segment,n,positives,positive_rate,cat_auc,xgb_auc,lgbm_auc,champion_auc,best_member,best_member_auc,best_member_minus_champion,champion_rank_error_pos,champion_rank_error_neg,champion_rank_error_balanced,cat_xgb_rank_disagreement,xgb_lgbm_rank_disagreement,cat_lgbm_rank_disagreement,max_rank_disagreement,evaluable_folds,cat_fold_wins,xgb_fold_wins,lgbm_fold_wins,champion_fold_wins,best_member_fold_wins,stable_member_signal
audit_commute_1km,32,13422,2386,0.17776784383847416,0.9459371060860942,0.946096285660554,0.9459209089994887,0.946149168293844,XGB,0.946096285660554,-5.288263328995235e-05,0.052625674142240814,0.055252534052846,0.053939104097543406,0.01625275253520554,0.008184513857575128,0.017726194631903787,0.021081730512342228,5,1,1,0,3,1,False
audit_commute_1km,33,11998,2060,0.17169528254709118,0.9420881797239975,0.9425970629553718,0.9426719935444414,0.9426404386809871,LGBM,0.9426719935444414,3.1554863454297255e-05,0.05513553849185612,0.056217758608325424,0.055676648550090774,0.01627443173908679,0.00875366776119919,0.017999277038721704,0.021513688269503846,5,1,1,3,0,3,False
audit_commute_1km,34,14460,2338,0.16168741355463348,0.9391226621167827,0.9396703799368525,0.9394856667507372,0.9396439520139489,XGB,0.9396703799368525,2.6427922903637935e-05,0.06013174468932905,0.05417910980272877,0.057155427246028914,0.016111474010181454,0.009104422460479693,0.01819589390759704,0.021705895189129094,5,1,3,1,0,3,False
audit_commute_1km,35,10076,1794,0.1780468439857086,0.9460497736289657,0.9463715214820283,0.946442056311023,0.946477626594538,LGBM,0.946442056311023,-3.5570283515085066e-05,0.053547509737067796,0.05400443450069265,0.05377597211888022,0.01601436427634881,0.008575338371821176,0.017544599621982057,0.021067151135076026,5,1,1,3,0,3,False
audit_commute_1km,36,12580,2334,0.18553259141494435,0.9429230099785214,0.942955668448205,0.9425505737938404,0.9430046561527302,XGB,0.942955668448205,-4.898770452521628e-05,0.05323105704793591,0.05780470344493059,0.055517880246433254,0.015805158635559067,0.008392785986485636,0.017258997256677004,0.020728470939360855,5,3,2,0,0,2,False
audit_commute_1km,37,12925,2108,0.16309477756286267,0.94363563731206,0.9437942401789017,0.943813492676771,0.9438839462936881,LGBM,0.943813492676771,-7.045361691715435e-05,0.05837452656136304,0.051885032287045024,0.05512977942420404,0.016319396072554917,0.008778253259356047,0.017646754183156105,0.021372201757533536,5,0,1,1,3,1,False
audit_commute_1km,38,12100,2196,0.18148760330578512,0.9462786971685927,0.9469522166900606,0.9468270625693359,0.946921640830295,XGB,0.9469522166900606,3.057585976562471e-05,0.053852359292120906,0.053241844698685994,0.053547101995403454,0.015996105846279494,0.00859197229857222,0.017480912287731572,0.021034495216291645,5,1,2,1,1,2,False
audit_commute_1km,39,9896,1755,0.17734438156831042,0.9433600665758879,0.9435201020755623,0.9436798226136145,0.9436915461850973,LGBM,0.9436798226136145,-1.1723571482824546e-05,0.05295310482233143,0.057435498178301854,0.05519430150031664,0.016124643493093883,0.008629647687644805,0.017350080492253173,0.02105218583649593,5,1,1,3,0,3,False
audit_commute_1km,40,11022,2075,0.1882598439484667,0.9488325493771218,0.9493177089715742,0.949180380850551,0.9493434293786301,XGB,0.9493177089715742,-2.5720407055951355e-05,0.050356835960840354,0.054303457033917896,0.052330146497379125,0.0162525955829003,0.008782761858590714,0.017504678474232115,0.021270017957861563,5,1,2,1,1,2,False
audit_commute_1km,41,12983,2187,0.16845105137487484,0.94646118657641,0.9466353437817492,0.946375802109979,0.946651374545908,XGB,0.9466353437817492,-1.603076415879201e-05,0.055589838379062215,0.051823545461831474,0.053706691920446845,0.01639222358731378,0.008486449873897278,0.01751985909719249,0.02119926627920177,5,1,1,1,2,1,False
audit_commute_1km,42,9521,1841,0.19336204180233169,0.9459203274941157,0.9462559269192468,0.9464455458989679,0.9463911568667391,LGBM,0.9464455458989679,5.4389032228763234e-05,0.04792487363606883,0.060048431380891824,0.05398665250848032,0.015679504990062636,0.008912043894461433,0.01708559870016702,0.020838573792345542,5,1,2,2,0,2,False
audit_commute_1km,43,13360,2529,0.18929640718562873,0.9434134166464689,0.9434122301512957,0.9431219039092972,0.9434675938414547,CAT,0.9434134166464689,-5.4177194985793875e-05,0.05177086689442386,0.05883268618654994,0.0553017765404869,0.016377167374925398,0.00894049362858186,0.017530455323192685,0.021424058163349968,5,2,2,0,1,2,False
audit_commute_1km,44,11914,2087,0.1751720664764143,0.9475791762903111,0.9476229132950695,0.9477046337186756,0.9477774068285996,LGBM,0.9477046337186756,-7.277310992392927e-05,0.051043362060699045,0.055212489018688825,0.053127925539693935,0.01620568018842452,0.008538560357288068,0.017483819421001846,0.021114029983357218,5,1,1,3,0,3,False
audit_commute_1km,45,12591,1983,0.15749344770073861,0.9517156672591841,0.9515696295586391,0.951539585344204,0.9517169270245046,CAT,0.9517156672591841,-1.2597653205048687e-06,0.05703881754804657,0.04553061793688319,0.05128471774246488,0.016352303899962888,0.008677938261286478,0.01792803448361178,0.021479138322430577,5,3,0,1,1,3,False
audit_commute_1km,46,14545,2573,0.1768992781024407,0.942623278646418,0.9427602902692109,0.942615617292792,0.9428615434978546,XGB,0.9427602902692109,-0.0001012532286436274,0.05485257683436566,0.056354249123011145,0.0556034129786884,0.01582368204007011,0.008650383778165682,0.017100120611224814,0.0207870932147303,5,1,1,1,2,1,False
audit_commute_1km,47,13833,2165,0.15650979541675702,0.9432564222947268,0.943855878694695,0.9439211368255375,0.9438663097031735,LGBM,0.9439211368255375,5.4827122363931835e-05,0.059398170886096655,0.05101386088481146,0.055206015885454054,0.01628378569806513,0.008335115794029171,0.017705708152608045,0.021162304822351173,5,0,1,1,3,1,False
audit_commute_1km,48,14516,2170,0.1494902176908239,0.946710272399277,0.9471373776539875,0.9469315235591893,0.9471455334327206,XGB,0.9471373776539875,-8.155778733032193e-06,0.05923229261382724,0.0481492393553585,0.05369076598459287,0.01650185937107914,0.008957338377661841,0.01823193528308237,0.02184556651591168,5,0,3,1,1,3,False
audit_commute_1km,49,12031,1785,0.14836671930845316,0.9412746711020931,0.9416935542516831,0.9419594775251502,0.9418584064506145,LGBM,0.9419594775251502,0.00010107107453571906,0.06373788365398526,0.048997746739435015,0.056367815196710136,0.016543331694059128,0.008852251263298243,0.017848977119229073,0.021622280038293223,5,0,1,3,1,3,False
