feature,fold,champion_auc,routed_auc,delta,pct_champion,pct_cat,pct_xgb,pct_lgbm
City_Type,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
City_Type,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
City_Type,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
Home_Charging_Possible,0,0.9450119212188222,0.9450119212188222,0.0,1.0,0.0,0.0,0.0
Home_Charging_Possible,1,0.945651196785816,0.945651196785816,0.0,1.0,0.0,0.0,0.0
Home_Charging_Possible,2,0.9469760424369916,0.9469760424369916,0.0,1.0,0.0,0.0,0.0
Home_Charging_Possible,3,0.9462123944285404,0.9462123944285404,0.0,1.0,0.0,0.0,0.0
Home_Charging_Possible,4,0.9459699629181807,0.9459699629181807,0.0,1.0,0.0,0.0,0.0
Number_of_Cars_Owned,0,0.9450119212188222,0.9408039299172627,-0.004207991301559466,0.9798030403864416,0.0,0.020196959613558357,0.0
Number_of_Cars_Owned,1,0.945651196785816,0.9418273265279423,-0.003823870257873674,0.9801544869254409,0.0,0.01984551307455901,0.0
Number_of_Cars_Owned,2,0.9469760424369916,0.9434466530729896,-0.0035293893640020446,0.9800049352067178,0.0,0.019995064793282138,0.0
Number_of_Cars_Owned,3,0.9462123944285404,0.9426495360326066,-0.0035628583959338433,0.9798852938317394,0.0,0.020114706168260638,0.0
Number_of_Cars_Owned,4,0.9459699629181807,0.9423469215922065,-0.003623041325974241,0.9792870869568469,0.0,0.020712913043153147,0.0
Charging_Stations_Near_Home,0,0.9450119212188222,0.9221812092292847,-0.022830711989537456,0.8520335294953377,0.0,0.14796647050466227,0.0
Charging_Stations_Near_Home,1,0.945651196785816,0.9341200089863742,-0.011531187799441844,0.9347655402929718,0.0,0.06523445970702818,0.0
Charging_Stations_Near_Home,2,0.9469760424369916,0.9165487561668464,-0.030427286270145237,0.7905229075845154,0.0,0.17766744184307537,0.031809650572409205
Charging_Stations_Near_Home,3,0.9462123944285404,0.9295395319322097,-0.01667286249633071,0.9048028534467932,0.0,0.09519714655320677,0.0
Charging_Stations_Near_Home,4,0.9459699629181807,0.9188187478148173,-0.02715121510336338,0.8204631616728856,0.0,0.17953683832711448,0.0
Charging_Stations_Near_Work,0,0.9450119212188222,0.9241368353793319,-0.02087508583949027,0.8706826288201117,0.0,0.12931737117988829,0.0
Charging_Stations_Near_Work,1,0.945651196785816,0.9320595492581845,-0.013591647527631534,0.9207525442486147,0.0,0.07924745575138523,0.0
Charging_Stations_Near_Work,2,0.9469760424369916,0.9124256142212055,-0.03455042821578613,0.7739151892203121,0.0,0.1989710841751849,0.027113726604503
Charging_Stations_Near_Work,3,0.9462123944285404,0.9115900484463171,-0.03462234598222336,0.7577785587700867,0.0,0.21623683010176994,0.02598461112814339
Charging_Stations_Near_Work,4,0.9459699629181807,0.9333565343704879,-0.012613428547692762,0.9271159698802839,0.0,0.04915764994429198,0.023726380175424167
