our,theirs,rho,alpha,auc
lr,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9928151672627369,0.7,0.9455454267935788
OURS_BLEND,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9939380856047921,0.5,0.946187529583642
OURS_BLEND,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9939380856047921,0.6,0.946252036258098
OURS_BLEND,catboost_hierarchical_income_commute_buckets_gpu::oof_prediction,0.9939380856047921,0.7,0.9462961667326008
lgbm_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930736728596271,0.5,0.9462129396636298
lgbm_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930736728596271,0.6,0.946266209035332
lgbm_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930736728596271,0.7,0.9462984215028419
xgb_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9937342634857864,0.5,0.9462119957345122
xgb_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9937342634857864,0.6,0.9462659031718861
xgb_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9937342634857864,0.7,0.9462990944800042
cat_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9871919905392841,0.5,0.946114752578834
cat_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9871919905392841,0.6,0.9461587011722303
cat_ref,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9871919905392841,0.7,0.9461824534917364
lr,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930402652326177,0.5,0.9457174789889975
lr,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930402652326177,0.6,0.9456515720224218
lr,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9930402652326177,0.7,0.9455538576935119
OURS_BLEND,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9941631967078546,0.5,0.946205417773566
OURS_BLEND,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9941631967078546,0.6,0.9462643426748163
OURS_BLEND,catboost_hierarchical_income_commute_multiseed_gpu::oof_prediction,0.9941631967078546,0.7,0.9463038635214732
lgbm_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9930173921552472,0.5,0.9461915934052478
lgbm_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9930173921552472,0.6,0.9462496071631485
lgbm_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9930173921552472,0.7,0.9462863714450765
xgb_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.993687776933558,0.5,0.9461903487330359
xgb_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.993687776933558,0.6,0.9462492310655422
xgb_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.993687776933558,0.7,0.9462870197669684
cat_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9870376322284693,0.5,0.9460928346719509
cat_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9870376322284693,0.6,0.9461415318952315
cat_ref,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9870376322284693,0.7,0.9461699958229256
lr,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9928916388629944,0.5,0.9456966978933373
lr,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9928916388629944,0.6,0.9456355087336791
lr,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9928916388629944,0.7,0.9455422113211883
OURS_BLEND,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9940865143669025,0.5,0.9461837391267636
OURS_BLEND,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9940865143669025,0.6,0.9462475529865729
OURS_BLEND,catboost_hierarchical_income_multiseed_gpu::oof_prediction,0.9940865143669025,0.7,0.9462917162778767
lgbm_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9951211015363672,0.5,0.9462718055567032
lgbm_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9951211015363672,0.6,0.9463104262299767
lgbm_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9951211015363672,0.7,0.9463297501976112
xgb_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9950880040097101,0.5,0.9462717314434882
xgb_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9950880040097101,0.6,0.9463110172737502
xgb_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9950880040097101,0.7,0.9463311852848493
cat_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.988381224968135,0.5,0.9462073300388127
cat_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.988381224968135,0.6,0.9462331929984116
cat_ref,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.988381224968135,0.7,0.9462390756388414
lr,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9920902622667856,0.5,0.9459034547479157
lr,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9920902622667856,0.6,0.9458185430366155
lr,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.9920902622667856,0.7,0.9456941984944043
OURS_BLEND,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.995656782257786,0.5,0.9462729219640996
OURS_BLEND,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.995656782257786,0.6,0.946316246673647
OURS_BLEND,lightgbm_engineered_learned_margin_cpu::oof_prediction,0.995656782257786,0.7,0.9463416872042127
lgbm_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9967319168168621,0.5,0.9462865873377327
lgbm_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9967319168168621,0.6,0.9463116660844031
lgbm_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9967319168168621,0.7,0.9463229656149492
xgb_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9962778916717829,0.5,0.9462917524151481
xgb_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9962778916717829,0.6,0.9463173670842278
xgb_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9962778916717829,0.7,0.9463288501250833
cat_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896654444382162,0.5,0.9462490414340847
cat_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896654444382162,0.6,0.9462598655787458
cat_ref,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896654444382162,0.7,0.9462543154974149
lr,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896956482859116,0.5,0.9460026512014788
lr,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896956482859116,0.6,0.9459089409567357
lr,lightgbm_fine_income_highres_cpu::oof_prediction,0.9896956482859116,0.7,0.9457746157935351
OURS_BLEND,lightgbm_fine_income_highres_cpu::oof_prediction,0.9968785346689162,0.5,0.9462954002314353
OURS_BLEND,lightgbm_fine_income_highres_cpu::oof_prediction,0.9968785346689162,0.6,0.9463247551469117
OURS_BLEND,lightgbm_fine_income_highres_cpu::oof_prediction,0.9968785346689162,0.7,0.946340938794957
lgbm_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9962467465810189,0.5,0.9462083130687997
lgbm_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9962467465810189,0.6,0.9462539561883562
lgbm_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9962467465810189,0.7,0.9462833115460452
xgb_ref,lightgbm_fine_income_highres_singleton_cpu::oof_prediction,0.9957467335758692,0.5,0.9462188627393235
