fold,feature,is_income_digit_feature,is_exact_frequency_feature,is_income_subsidy_interaction_te,is_exact_te_feature,gain_importance
4,FE__income_digit_hundreds,True,False,False,False,0.014817736111581326
4,FE__income_digit_thousands,True,False,False,False,0.01520503405481577
4,FE__income_digit_ten_thousands,True,False,False,False,0.020851286128163338
4,FE__income_digit_hundred_thousands,True,False,False,False,0.08931665867567062
4,FE__income_last2,True,False,False,False,0.011970916762948036
4,FE__income_last3,True,False,False,False,0.013804319314658642
4,FE__income_exact_frequency_count,False,True,False,False,0.01610027626156807
4,FE__income_exact_frequency_log1p,False,True,False,False,0.017408233135938644
4,FE__income_exact_frequency_rate,False,True,False,False,0.02255840227007866
4,FE__commute_exact_frequency_count,False,True,False,False,0.011933760717511177
4,FE__commute_exact_frequency_log1p,False,True,False,False,0.01155804842710495
4,FE__commute_exact_frequency_rate,False,True,False,False,0.025799473747611046
4,TE__Annual_Income_USD_exact,False,False,False,True,0.08653755486011505
4,TE__Daily_Commute_km_exact,False,False,False,True,0.0398050881922245
4,TE__Annual_Income_USD_exact_x_Subsidy_Available,False,False,True,True,0.10446924716234207
